awavelength,cwavelength,ats1,cts1,bts1,asv,a_spec,aflat,ats3,cts3,bts3,asv,a_spec,aflat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687.6,690.8,0.01103764,0.499486757,0.494176916,0.0731919,0.01256364,0.061736578,0.624885855,1.964799935,1.352312799,0.181334167,0.626411855,0.111100231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691.8,695,0.003519904,0.501679471,0.503871533,0.066893488,0.005616904,0.054218841,0.608612536,1.95208259,1.356772322,0.163598148,0.610709536,0.094826912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,698.9,-0.003977051,0.498721584,0.508537106,0.059983338,-0.001757051,0.046721887,0.591153309,1.941035156,1.362092758,0.144393844,0.593373309,0.077367685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699.9,702.8,-0.011828787,0.494969595,0.513658246,0.052775704,-0.010138287,0.03887015,0.574731738,1.931456847,1.369038134,0.125694226,0.576422238,0.060946115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703.4,706.5,-0.020107933,0.488993376,0.516376686,0.044838466,-0.019610933,0.030591005,0.55987119,1.921760064,1.371783738,0.109933134,0.56036819,0.046085567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707.3,710,-0.029260827,0.483823907,0.522398843,0.036442999,-0.030889327,0.021438111,0.547422812,1.912827293,1.379573562,0.094929733,0.545794312,0.033637188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710.8,713.6,-0.041334673,0.479976666,0.529023086,0.025202306,-0.045590673,0.009364265,0.529055485,1.904954138,1.388473833,0.073643162,0.524799485,0.015269861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714.2,716.9,-0.050698938,0.475682838,0.533688743,0.016424856,-0.058429938,0,0.513785624,1.896903194,1.393408907,0.056754622,0.506054624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717.7,720.3,-0.060170931,0.474463671,0.545014435,0.008377332,-0.072401931,-0.009471994,0.500445001,1.890333596,1.406997373,0.038957052,0.488214001,-0.013340623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720.9,723.7,-0.07294611,0.483154798,0.561123463,-0.002371762,-0.09022611,-0.022247173,0.479388043,1.88290023,1.412589352,0.016065954,0.462108043,-0.034397581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724.1,726.8,-0.078686173,0.47135212,0.552656921,-0.009176689,-0.101436673,-0.027987235,0.469014139,1.87805779,1.41459066,0.005035631,0.446263639,-0.044771485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727.5,730.2,-0.081983704,0.468291708,0.550901726,-0.012694977,-0.111701204,-0.031284767,0.462029017,1.874233381,1.421050372,-0.004068244,0.432311517,-0.051756607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730.4,733.1,-0.082656412,0.478851207,0.5477426,-0.013765019,-0.118380412,-0.031957475,0.452527749,1.866934584,1.405829644,-0.008577191,0.416803749,-0.061257875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733.5,736.2,-0.066852131,0.48870714,0.535712227,0.000526162,-0.109034631,-0.016153194,0.462375635,1.864783676,1.386136627,0.007729904,0.420193135,-0.051409989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736.5,739.1,-0.04479986,0.492470729,0.513261833,0.019754774,-0.09277236,0.005899078,0.480454984,1.864016408,1.362185637,0.033665056,0.432482484,-0.03333064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739.2,741.8,-0.01986769,0.507391755,0.505233618,0.043677208,-0.07204769,0.030831247,0.502652917,1.862896224,1.339716931,0.063232609,0.450472917,-0.011132707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742.1,744.6,0.004699579,0.51556902,0.490032602,0.066332595,-0.050563921,0.055398516,0.525547721,1.863098136,1.319190979,0.092859821,0.470284221,0.011762097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744.8,747.2,0.027203365,0.524651703,0.48571575,0.088293437,-0.029260635,0.077902303,0.545375912,1.861233702,1.302579535,0.11813648,0.488911912,0.031590288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747.3,749.5,0.03942481,0.519578945,0.471800803,0.098764753,-0.01677569,0.090123748,0.559207428,1.860345385,1.292509495,0.135270918,0.503006928,0.045421804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749.8,752,0.048917232,0.535095143,NaN,NaN,-0.005696768,0.09961617,0.569012499,1.855144444,NaN,NaN,0.514398499,0.055226875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
