SN	SV-MPR	VA-MPR	V15-MPR	TEMP-MPR(PCB)	COND	Pres	TILT(X)	TILT(Y)	TEMP(TILT)	T(w)	FRAME	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0068	11.9700000000	4.9800000000	14.9700000000	36.0000000000	39.5806240645	8.0719203730	-0.4215526878	2.4865692881	34857	17.3230662011	131	337.8600000000	0	2017-198	18:06:03.623
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.5806240645	8.0907068440	-0.3445004926	2.3627460308	34856	17.3230662011	132	337.9600000000	0	2017-198	18:06:03.826
0068	12.0900000000	4.9800000000	14.9700000000	35.5000000000	39.5806240645	8.0969690010	-0.2553664566	2.1777954000	34856	17.3184534700	133	338.0700000000	0	2017-198	18:06:03.826
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.5882700989	8.0969690010	-0.1481102595	1.8766031979	34855	17.3207598365	134	338.1900000000	0	2017-198	18:06:03.951
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.5920931550	8.1157554720	-0.0514349780	1.4712299981	34856	17.3253725639	135	338.3400000000	0	2017-198	18:06:04.107
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5920931550	8.1157554720	0.0014317656	1.0169383023	34856	17.3484360947	136	338.4900000000	0	2017-198	18:06:04.247
0068	12.0600000000	4.9500000000	15.0000000000	36.0000000000	39.5920931550	8.1220176290	-0.0046100567	0.7951066586	34855	17.3668867975	137	338.5800000000	0	2017-198	18:06:04.450
0068	12.1200000000	4.9800000000	14.9700000000	36.0000000000	39.5959162370	8.1282797860	-0.0348195213	0.6001282454	34855	17.3645804653	138	338.6900000000	0	2017-198	18:06:04.450
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.5959162370	8.1470662570	-0.0846664257	0.4914983919	34855	17.3461297494	139	338.7800000000	0	2017-198	18:06:04.606
0068	12.0600000000	4.9800000000	15.0000000000	36.5000000000	39.5920931550	8.1533284140	-0.1617057046	0.5167943334	34855	17.3345979972	140	338.8900000000	0	2017-198	18:06:04.746
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5920931550	8.1470662570	-0.2327060782	0.5123302810	34855	17.3276789249	141	338.9900000000	0	2017-198	18:06:04.746
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.5920931550	8.1658527280	-0.3006882072	0.5569720145	34854	17.3276789249	142	339.0900000000	0	2017-198	18:06:04.840
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.5920931550	8.1658527280	-0.4351505316	0.9156914743	34854	17.3230662011	143	339.2500000000	0	2017-198	18:06:05.011
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.5959162370	8.1721148850	-0.5182510573	1.1762811275	34853	17.3207598365	144	339.4000000000	0	2017-198	18:06:05.152
0068	12.0600000000	4.9800000000	15.0000000000	36.0000000000	39.5959162370	8.1721148850	-0.5530035070	1.3699212249	34853	17.3230662011	145	339.4900000000	0	2017-198	18:06:05.323
0068	12.0900000000	4.9500000000	15.0000000000	36.5000000000	39.5959162370	8.1909013560	-0.5847346848	1.6560050798	34854	17.3253725639	146	339.6000000000	0	2017-198	18:06:05.355
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.5920931550	8.1909013560	-0.5666025037	2.2464007597	34853	17.3299852841	148	339.9000000000	0	2017-198	18:06:05.651
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.5882700989	8.1909013560	-0.5227839413	2.3165040677	34852	17.3276789249	149	340.0000000000	0	2017-198	18:06:05.826
0068	12.1200000000	4.9800000000	14.9700000000	36.0000000000	39.5882700989	8.1909013560	-0.4563029700	2.3150124393	34852	17.3253725639	150	340.1100000000	0	2017-198	18:06:05.856
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.5844470688	8.2034256700	-0.3852923541	2.2553497508	34852	17.3161471017	151	340.2200000000	0	2017-198	18:06:05.966
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.5844470688	8.2096878270	-0.3173065145	2.1390212532	34852	17.3138407316	152	340.3200000000	0	2017-198	18:06:06.136
0068	12.0600000000	4.9800000000	15.0000000000	36.5000000000	39.5882700989	8.2222121410	-0.2493236566	1.9243086901	34851	17.3115343596	153	340.4200000000	0	2017-198	18:06:06.166
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5882700989	8.2409986120	-0.1919182320	1.6574953881	34851	17.3092279857	154	340.5300000000	0	2017-198	18:06:06.276
0068	12.0300000000	4.9800000000	15.0000000000	36.0000000000	39.5920931550	8.2347364550	-0.1465996618	1.4071654921	34851	17.3115343596	155	340.6200000000	0	2017-198	18:06:06.446
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.5959162370	8.2409986120	-0.1088351990	1.0884149666	34851	17.3115343596	156	340.7300000000	0	2017-198	18:06:06.476
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.6035624785	8.2660472400	-0.1178985861	0.8352994199	34850	17.3207598365	157	340.8900000000	0	2017-198	18:06:06.646
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.5997393449	8.2723093970	-0.1465996618	0.7727782876	34850	17.3207598365	158	341.0400000000	0	2017-198	18:06:06.800
0068	12.0600000000	4.9800000000	15.0000000000	36.0000000000	39.5997393449	8.2723093970	-0.1662375462	0.6983552379	34850	17.3253725639	159	341.1300000000	0	2017-198	18:06:06.878
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.6035624785	8.2910958680	-0.2236420196	0.7519390811	34849	17.3461297494	160	341.3000000000	0	2017-198	18:06:07.065
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.6035624785	8.2848337110	-0.2810486192	0.9201579550	34849	17.3553551205	161	341.4400000000	0	2017-198	18:06:07.205
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6035624785	8.3036201820	-0.3309034439	1.0422521673	34849	17.3507424383	162	341.5400000000	0	2017-198	18:06:07.393
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.6035624785	8.2973580250	-0.3883140162	1.2701157943	34849	17.3415170537	163	341.6500000000	0	2017-198	18:06:07.393
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.5997393449	8.2973580250	-0.4683902073	1.6604760137	34849	17.3299852841	164	341.8000000000	0	2017-198	18:06:07.564
0068	12.0300000000	4.9800000000	14.9700000000	36.5000000000	39.5959162370	8.2973580250	-0.5666025037	2.2359604059	34848	17.3299852841	165	341.9500000000	0	2017-198	18:06:07.705
0068	12.0900000000	4.9800000000	14.9700000000	36.5000000000	39.6035624785	8.3098823390	-0.6043781203	2.6283199561	34848	17.3299852841	166	342.0400000000	0	2017-198	18:06:07.907
